principal_diagnostic,icd_code
Corrosión de la laringe y de la tráquea,T274
Corrosión que afecta la laringe y la tráquea con el pulmón,T275
Corrosión de otras partes de las vías respiratorias,T276
"Corrosión de las vías respiratorias, parte no especificada",T277
Quemadura y corrosión de otros órganos internos,T28
Quemadura de la boca y de la faringe,T280
Quemadura del esófago,T281
Quemadura de otras partes del tubo digestivo,T282
Quemadura de órganos genitourinarios internos,T283
Quemadura de otros órganos internos y de los no especificados,T284
Corrosión de la boca y de la faringe,T285
Corrosión del esófago,T286
Corrosión de otras partes del tubo digestivo,T287
Corrosión de órganos genitourinarios internos,T288
Corrosión de otros órganos internos y de los no especificados,T289
Quemaduras y corrosiones de múltiples regiones del cuerpo,T29
"Quemaduras de múltiples regiones, grado no especificado",T290
"Quemaduras de múltiples regiones, mencionadas como de no más de primer grado",T291
"Quemaduras de múltiples regiones, mencionadas como de no más de segundo grado",T292
"Quemaduras múltiples, con mención al menos de una quemadura de tercer grado",T293
"Corrosiones de múltiples regiones, grado no especificado",T294
"Corrosiones múltiples, mencionadas como de no más de primer grado",T295
"Corrosiones múltiples, mencionadas como de no más de segundo grado",T296
"Corrosiones múltiples, con mención al menos de una corrosión de tercer grado",T297
"Quemadura y corrosión, región del cuerpo no especificada",T30
Quemadura de región del cuerpo y grado no especificados,T300
"Quemadura de primer grado, región del cuerpo no especificada",T301
"Quemadura de segundo grado, región del cuerpo no especificada",T302
"Quemadura de tercer grado, región del cuerpo no especificada",T303
Corrosión de región del cuerpo y grado no especificados,T304
"Corrosión de primer grado, región del cuerpo no especificada",T305
"Corrosión de segundo grado, región del cuerpo no especificada",T306
"Corrosión de tercer grado, región del cuerpo no especificada",T307
Quemaduras clasificadas según la extensión de la superficie del cuerpo afectada,T31
Quemaduras que afectan menos del 10% de la superficie del cuerpo,T310
Quemaduras que afectan del 10 al 19% de la superficie del cuerpo,T311
Quemaduras que afectan del 20 al 29% de la superficie del cuerpo,T312
Quemaduras que afectan del 30 al 39% de la superficie del cuerpo,T313
Quemaduras que afectan del 40 al 49% de la superficie del cuerpo,T314
Quemaduras que afectan del 50 al 59% de la superficie del cuerpo,T315
Quemaduras que afectan del 60 al 69% de la superficie del cuerpo,T316
Quemaduras que afectan del 70 al 79% de la superficie del cuerpo,T317
Quemaduras que afectan del 80 al 89% de la superficie del cuerpo,T318
Quemaduras que afectan el 90% o más de la superficie del cuerpo,T319
Corrosiones clasificadas según la extensión de la superficie del cuerpo afectada,T32
Corrosiones que afectan menos del 10% de la superficie del cuerpo,T320
Corrosiones que afectan del 10 al 19% de la superficie del cuerpo,T321
Corrosiones que afectan del 20 al 29% de la superficie del cuerpo,T322
Corrosiones que afectan del 30 al 39% de la superficie del cuerpo,T323
Corrosiones que afectan del 40 al 49% de la superficie del cuerpo,T324
Corrosiones que afectan del 50 al 59% de la superficie del cuerpo,T325
Corrosiones que afectan del 60 al 69% de la superficie del cuerpo,T326
Corrosiones que afectan del 70 al 79% de la superficie del cuerpo,T327
Corrosiones que afectan del 80 al 89% de la superficie del cuerpo,T328
Corrosiones que afectan el 90% o más de la superficie del cuerpo,T329
Congelamiento superficial,T33
Congelamiento superficial de la cabeza,T330
Congelamiento superficial del cuello,T331
Congelamiento superficial del tórax,T332
"Congelamiento superficial de la pared abdominal, región lumbosacra y pelvis",T333
Congelamiento superficial del brazo,T334
Congelamiento superficial de la muñeca y de la mano,T335
Congelamiento superficial de la cadera y del muslo,T336
Congelamiento superficial de la rodilla y de la pierna,T337
Congelamiento superficial del tobillo y del pie,T338
Congelamiento superficial de otros sitios y de los no especificados,T339
Congelamiento con necrosis tisular,T34
Congelamiento con necrosis tisular de la cabeza,T340
Congelamiento con necrosis tisular del cuello,T341
Congelamiento con necrosis tisular del tórax,T342
"Congelamiento con necrosis tisular de la pared abdominal, región lumbosacra y pelvis",T343
Congelamiento con necrosis tisular del brazo,T344
Congelamiento con necrosis tisular de la muñeca y de la mano,T345
Congelamiento con necrosis tisular de la cadera y del muslo,T346
Congelamiento con necrosis tisular de la rodilla y de la pierna,T347
Congelamiento con necrosis tisular del tobillo y del pie,T348
Congelamiento con necrosis tisular de otros sitios y de los no especificados,T349
Congelamiento que afecta múltiples regiones del cuerpo y congelamiento no especificado,T35
Congelamiento superficial que afecta múltiples regiones del cuerpo,T350
Congelamiento con necrosis tisular que afecta múltiples regiones del cuerpo,T351
Congelamiento no especificado de la cabeza y del cuello,T352
"Congelamiento no especificado del tórax, del abdomen, de la región lumbosacra y de la pelvis",T353
Congelamiento no especificado del miembro superior,T354
Congelamiento no especificado del miembro inferior,T355
Congelamiento no especificado que afecta múltiples regiones del cuerpo,T356
"Congelamiento no especificado, de sitio no especificado",T357
Envenenamiento por antibióticos sistémicos,T36
Penicilinas,T360
Cefalosporinas y otros antibióticos beta-lactámicos,T361
Grupo del cloramfenicol,T362
Macrólidos,T363
Tetraciclinas,T364
Aminoglucósidos,T365
Rifamicinas,T366
Antibióticos antimicóticos usados sistémicamente,T367
Otros antibióticos sistémicos,T368
"Antibióticos sistémicos, no especificados",T369
Envenenamiento por otros antiinfecciosos y antiparasitarios sistémicos,T37
Sulfonamidas,T370
Drogas antimicobacterianas,T371
Antipalúdicos y drogas de acción contra otros protozoarios sanguíneos,T372
Otras drogas antiprotozoarias,T373
Antihelmínticos,T374
Drogas antivirales,T375
Otros antiinfecciosos y antiparasitarios sistémicos especificados,T378
"Antiinfecciosos y antiparasitarios sistémicos, no especificados",T379
"Envenenamiento por hormonas y sus sustitutos y antagonistas sintéticos, no clasificados en otra parte",T38
Glucocorticoides y análogos sintéticos,T380
Hormonas tiroideas y sustitutos,T381
Drogas antitiroideas,T382
Insulina y drogas hipoglucemiantes orales [antidiabéticas],T383
Anticonceptivos orales,T384
Otros estrógenos y progestógenos,T385
"Antigonadotrofinas, antiestrógenos y antiandrógenos, no clasificados en otra parte",T386
Andrógenos y sus congéneres anabólicos,T387
Otras hormonas y sustitutos sintéticos y los no especificados,T388
Otros antagonistas de las hormonas y los no especificados,T389
"Envenenamiento por analgésicos no narcóticos, antipiréticos y antirreumáticos",T39
Salicilatos,T390
Derivados del paraaminofenol,T391
Derivados de la pirazolona,T392
Otras drogas antiinflamatorias no esteroideas [DAINE],T393
"Antirreumáticos, no clasificados en otra parte",T394
"Otros analgésicos no narcóticos y antipiréticos, no clasificados en otra parte",T398
"Analgésicos no narcóticos, antipiréticos y antirreumáticos, no especificados",T399
Envenenamiento por narcóticos y psicodislépticos [alucinógenos],T40
Opio,T400
Heroína,T401
Otros opiáceos,T402
Metadona,T403
Otros narcóticos sintéticos,T404
Cocaína,T405
Otros narcóticos y los no especificados,T406
Cannabis (derivados),T407
Acido lisérgico [LSD],T408
Otros psicodislépticos y los no especificados [alucinógenos],T409
Envenenamiento por anestésicos y gases terapéuticos,T41
Anestésicos por inhalación,T410
Anestésicos intravenosos,T411
Otros anestésicos generales y los no especificados,T412
Anestésicos locales,T413
"Anestésicos, no especificados",T414
Gases terapéuticos,T415
"Envenenamiento por antiepilépticos, hipnóticos-sedantes y drogas antiparkinsonianas",T42
Derivados de la hidantoína,T420
Iminostilbenos,T421
Succinamidas y derivados de la oxazolidina,T422
Barbitúricos,T423
Benzodiazepinas,T424
"Antiepilépticos mixtos, no clasificados en otra parte",T425
Otros antiepilépticos y drogas hipnótico–sedantes,T426
"Antiepilépticos y drogas hipnótico–sedantes, no especificados",T427
Drogas antiparkinsonianas y otros depresores del tono muscular central,T428
"Envenenamiento por psicotrópicos, no clasificados en otra parte",T43
Antidepresivos tricíclicos y tetracíclicos,T430
Antidepresivos inhibidores de la monoaminoxidasa,T431
Otros antidepresivos y los no especificados,T432
Antipsicóticos y neurolépticos fenotiacínicos,T433
Butirofenona y neurolépticos tioxanténicos,T434
Otros antipsicóticos y neurolépticos y los no especificados,T435
Psicoestimulantes con abuso potencial,T436
"Otras drogas psicotrópicas, no clasificadas en otra parte",T438
"Droga psicotrópica, no especificada",T439
Envenenamiento por drogas que afectan principalmente el sistema nervioso autónomo,T44
Agentes anticolinesterasa,T440
Otros parasimpaticomiméticos [colinérgicos],T441
"Drogas bloqueadoras ganglionares, no clasificadas en otra parte",T442
"Otros parasimpaticolíticos [anticolinérgicos y antimuscarínicos] y espasmolíticos, no clasificados en otra parte",T443
"Agonistas, predominantemente alfa-adrenérgicos, no clasificados en otra parte",T444
"Agonistas, predominantemente beta-adrenérgicos, no clasificados en otra parte",T445
"Antagonistas alfa-adrenérgicos, no clasificados en otra parte",T446
"Antagonistas beta-adrenérgicos, no clasificados en otra parte",T447
"Agentes de acción central y bloqueadores neuronales adrenérgicos, no clasificados en otra parte",T448
Otras drogas y las no especificadas que afectan principalmente el sistema nervioso autónomo,T449
"Envenenamiento por agentes principalmente sistémicos y hematológicos, no clasificados en otra parte",T45
Drogas antialérgicas y antieméticas,T450
Drogas antineoplásicas e inmunosupresoras,T451
"Vitaminas, no clasificadas en otra parte",T452
"Enzimas, no clasificadas en otra parte",T453
Hierro y sus compuestos,T454
Anticoagulantes,T455
Drogas que afectan la fibrinólisis,T456
"Antagonistas de anticoagulantes, vitamina K y otros coagulantes",T457
Otros agentes principalmente sistémicos y hematológicos,T458
"Agentes principalmente sistémicos y hematológicos, no especificados",T459
Envenenamiento por agentes que afectan principalmente el sistema cardiovascular,T46
Glucósidos cardiotónicos y medicamentos de acción similar,T460
Bloqueadores del canal del calcio,T461
"Otras drogas antiarrítmicas, no clasificadas en otra parte",T462
"Vasodilatadores coronarios, no clasificados en otra parte",T463
Inhibidores de la enzima convertidora de la angiotensina,T464
"Otras drogas antihipertensivas, no clasificadas en otra parte",T465
Drogas antilipémicas y antiarterioscleróticas,T466
Vasodilatadores periféricos,T467
"Drogas antivaricosas, inclusive agentes esclerosantes",T468
Otros agentes y los no especificados que afectan principalmente el sistema cardiovascular,T469
Envenenamiento por agentes que afectan principalmente el sistema gastrointestinal,T47
Antagonistas del receptor H2 de histamina,T470
Otras drogas antiácidas y que inhiben la secreción gástrica,T471
Laxantes estimulantes,T472
Laxantes salinos y osmóticos,T473
Otros laxantes,T474
Digestivos,T475
Drogas antidiarreicas,T476
Eméticos,T477
Otros agentes que afectan principalmente el sistema gastrointestinal,T478
Agentes no especificados que afectan principalmente el sistema gastrointestinal,T479
Envenenamiento por agentes con acción principal sobre los músculos lisos y esqueléticos y sobre el sistema respiratorio,T48
Drogas oxitócicas,T480
Relajantes musculoesqueléticos [agentes bloqueadores neuromusculares],T481
Otros medicamentos y los no especificados de acción principal sobre los músculos,T482
Antitusígenos,T483
Expectorantes,T484
Drogas contra el catarro común,T485
"Antiasmáticos, no clasificados en otra parte",T486
Otros agentes y los no especificados de acción principal sobre el sistema respiratorio,T487
"Envenenamiento por agentes tópicos que afectan principalmente la piel y las membranas mucosas y por drogas oftalmológicas, otorrinolaringológicas y dentales",T49
"Drogas locales antimicóticas, antiinfecciosas y antiinflamatorias, no clasificadas en otra parte",T490
